"Mini-cart promotion block", "Mini-cart promotion block"
"Shopping Cart Sidebar Extra Actions", "Shopping Cart Sidebar Extra Actions"
"Shopping Cart Sidebar Extra Actions", "Shopping Cart Sidebar Extra Actions"
"Shopping Cart", "Shopping Cart"
"Empty Shopping Cart Content Before", "Empty Shopping Cart Content Before"
"Payment Methods Before Checkout Button", "Payment Methods Before Checkout Button"
"Shopping Cart Items Before", "Shopping Cart Items Before"
"Payment Methods After Checkout Button", "Payment Methods After Checkout Button"
"Checkout Forms Extra", "Checkout Forms Extra"
"Shopping Cart Items After", "Shopping Cart Items After"
"Additional Product Info", "Additional Product Info"
"Configure Cart Item", "Configure Cart Item"
"Multishipping Checkout", "Multishipping Checkout"
"Multishipping Checkout Shipping Address Selection", "Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Billing Address Selection", "Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Shipping Address Creation", "Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Billing Address Creation", "Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Shipping Address Edit Form", "Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Billing Address Edit Form", "Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Customer Address Edit Form", "Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Address (Any) Form", "Multishipping Checkout Address (Any) Form"
"Additional Product Info", "Additional Product Info"
"Multishipping Checkout Shipping Information Step", "Multishipping Checkout Shipping Information Step"
"Additional Product Info", "Additional Product Info"
"Multishipping Checkout Billing Information Step", "Multishipping Checkout Billing Information Step"
"Payment Methods Before", "Payment Methods Before"
"Payment Methods After", "Payment Methods After"
"Multishipping Checkout Overview", "Multishipping Checkout Overview"
"Overview Items After", "Overview Items After"
"Additional Product Info", "Additional Product Info"
"Multishipping Checkout Success", "Multishipping Checkout Success"
"One Page Checkout", "One Page Checkout"
"Checkout Progress Wrapper", "Checkout Progress Wrapper"
"Login/Registration Before", "Login/Registration Before"
"One Page Checkout Overview", "One Page Checkout Overview"
"Items Before", "Items Before"
"Items After", "Items After"
"Additional Product Info", "Additional Product Info"
"One Page Checkout Success", "One Page Checkout Success"
"One Page Checkout Failure", "One Page Checkout Failure"
"Sorry, no quotes are available for this order at this time.", "Sorry, no quotes are available for this order at this time."
"Incl. Tax", "Incl. Tax"
"NaN Shipping", "NaN Shipping"
"Enabled", "Enabled"
"Method Name", "Method Name"
"Price", "Price"
"Calculate Handling Fee", "Calculate Handling Fee"
"Handling Fee", "Handling Fee"
"Sort Order", "Sort Order"
"Title", "Title"
"Type", "Type"
"Ship to Applicable Countries", "Ship to Applicable Countries"
"Ship to Specific Countries", "Ship to Specific Countries"
"Show Method if Not Applicable", "Show Method if Not Applicable"
"Displayed Error Message", "Displayed Error Message"
"Input Time", "Input Time"
"Does the shipping method have the option to choose the time?", "Does the shipping method have the option to choose the time?"
"Morning", "Morning"
"Afternoon", "Afternoon"
"Evening", "Evening"
"The NaN Shipping is now deactivate because it not support the multishipping method. Sorry Man.", "The NaN Shipping is now deactivate because it not support the multishipping method. Sorry Man."
"The module can\'t be activated if the multishipping is activated. Sorry Man.", "The module can\'t be activated if the multishipping is activated. Sorry Man."
